Index,Tipo,Género literário,Título,Século de publicação,Passo do texto,Nome do Sujeito,Posição,Número,Sexo do Sujeito,Natureza,Dimensão,Anatomia,Órgãos,Qualificativo do Sujeito,Ação,Causas das ações,Causa específica,Quando,Onde,Latitude,Longitude,Cronologia,Como,Intenção,Nome do Com-Quem,Sexo do Com-Quem,Qualificativo do Com-Quem,Nome do Sobre-Quem,Sexo do Sobre-Quem,Qualificativo do Sobre-Quem,Objeto,Valor,Tipo de sobrenatural,PP.,Observações
15,Textual,Hagiografia,Vida de Santo Aleixo,VIII,stablecerom anbos que dhi em deante omais tepo da sua ujda ujuessem em castidade e em sãctidade polo filho que lhes deus dera. Eque todo tenpo nõ dormissem anbos em hua cama ne se iutassem anbos carnalmente,Eufemiano; Aglaes,Ativo,Plural,Ambos,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Viver em castidade e santidade,Religiosas,Gratidão,Resto das suas vidas,Roma,41.9028° N,12.4964° E,IV,Com castidade e limpeza,Sagrado,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Camas,Literal,Não aplicável,45,
16,Textual,Hagiografia,Vida de Santo Aleixo,VIII,meestres que o esignassem em nos santos sacrametos da sãcta egleia. Epera lhe auerem de insignar as artes liberaaes.,Mestres,Ativo,Plural,Masculino,Humana,Corpo,Cabeça,Boca,Não aplicável,Ensinar,Religiosas,Educação,Tendo Aleixo a idade adequada,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Aleixo,Masculino,Com a idade adequada para aprender,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,46,
17,Textual,Hagiografia,Vida de Santo Aleixo,VIII,"Eprouue adeus, que assy foy ensignado",Deus,Ativo,Singular,Ambos,Sobrenatural,Transcendental,Cabeça,Cérebro,Não aplicável,Vontade divina,Religiosas,Vontade divina,Não aplicável,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Sagrado,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,46,
18,Textual,Hagiografia,Vida de Santo Aleixo,VIII,aprendeo em tal guisa que era mais sabedor em arte de philosofia spicialmete em spiritual antre todos os seus parceiros,Aleixo,Passivo,Singular,Masculino,Humana,Corpo,Cabeça,Cérebro,Não aplicável,Educar,Religiosas,Inteligência,Não aplicável,Roma,41.9028° N,12.4964° E,IV,De modo a saber mais do que todos os outros.,Sagrado,Não aplicável,Não aplicável,Não aplicável,Mestres,Masculino,Não aplicável,Não aplicável,Literal,Não aplicável,46,
19,Textual,Hagiografia,Vida de Santo Aleixo,VIII,7 opadre 7 amadre ujrom que era ia de ydade pera seer casado,Eufemiano; Aglaes,Ativo,Plural,Ambos,Humana,Corpo,Cabeça,Olhos,Não aplicável,Ver,Sociais,Matrimónio,Mancebia de Aleixo,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Aleixo,Masculino,Com idade para se casar,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,46,
20,Textual,Hagiografia,Vida de Santo Aleixo,VIII,trabalharõ se pera lhe auerem hũa moça do ljnhagē dos enperadores,Eufemiano; Aglaes,Ativo,Plural,Ambos,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Trabalhar,Sociais,Matrimónio,Mancebia de Aleixo,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Não aplicável,Não aplicável,Não aplicável,Moça,Feminino,Da linhagem dos imperadores,Não aplicável,Literal,Não aplicável,46,
21,Textual,Hagiografia,Vida de Santo Aleixo,VIII, … auerem hũa moça do ljnhagē dos enperadores,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Haver,Sociais,Matrimónio,Mancebia de Aleixo,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Moça,Feminino,Da linhagem dos imperadores,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,46,
22,Textual,Hagiografia,Vida de Santo Aleixo,VIII,E apostarõlhes hũa camara,Eufemiano; Aglaes,Ativo,Plural,Ambos,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Acomodar,Sociais,Matrimónio,Dia das bodas,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Sagrado,Aleixo; esposa de Aleixo,Ambos,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,46,
23,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Emujtos hõrados sacerdotes lhes poseram senhas coroas. Eassy em aquele dia cõ grande alegria lhes fezerom suas uodas.,Sacerdotes,Ativo,Plural,Masculino,Humana,Corpo,Cabeça,Cabeça,Honrados,Coroar,Sociais,Matrimónio,Dia das bodas,Roma,41.9028° N,12.4964° E,IV,com grande alegria,Sagrado,Aleixo; esposa de Aleixo,Ambos,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Coroas,Literal,Não aplicável,46,
24,Textual,Hagiografia,Vida de Santo Aleixo,VIII,disse opadre ao filho,Eufemiano,Ativo,Singular,Masculino,Humana,Corpo,Cabeça,Boca,Não aplicável,Dizer,Sociais,Instrução,Noite do seu casamento,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Aleixo,Masculino,Recém-casado,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,46,
25,Textual,Hagiografia,Vida de Santo Aleixo,VIII,filho entra na tua camara 7 uay ueer tua sposa,Eufemiano,Ativo,Singular,Masculino,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Entrar,Sociais,Matrimónio,Noite do seu casamento,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Aleixo,Masculino,Não aplicável,Esposa de Aleixo,Feminino,Não aplicável,Não aplicável,Literal,Não aplicável,46,
26,Textual,Hagiografia,Vida de Santo Aleixo,VIII,... 7 uay ueer tua sposa,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Cabeça,Olhos,Não aplicável,Ver,Sociais,Matrimónio,Noite do seu casamento,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Esposa de Aleixo,Feminino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,46,
27,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Ecomeçou omujto nobre 7 honrado mãcebo 7 sabedor aensignar sua sposa em na disciplina de christo 7 a lhe declarar mujtos sacramentos,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Cabeça,Boca,Nobre; honrado; sabedor,Ensinar,Religiosas,Educação,Noite do seu casamento,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Sagrado,Esposa de Aleixo,Feminino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,46,
28,Textual,Hagiografia,Vida de Santo Aleixo,VIII,deu lhe huu seu anel douro 7 hua cinta cõ que se cjngia enuolta em huu sudairo de pano de purpura muj branco,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Membros,Mãos,Não aplicável,Dar,Religiosas,Guarda,Noite do seu casamento,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Esposa de Aleixo,Feminino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Anel de ouro; cinta envolta num sudário de pano de púrpura,Literal,Não aplicável,46,
29,Textual,Hagiografia,Vida de Santo Aleixo,VIII,hua cinta cõ que se cjngia enuolta em huu sudairo de pano de purpura muj branco,Aleixo; Esposa de Aleixo,Ativo,Plural,Ambos,Humana,Corpo,Tronco,Cintura,Não aplicável,Cingir,Religiosas,Devoção,Noite do seu casamento,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Cinta envolta num sudário de pano de púrpura,Literal,Não aplicável,46,
30,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Edisse,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Cabeça,Boca,Não aplicável,Dizer,Religiosas,Instrução,Noite do seu casamento,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Esposa de Aleixo,Feminino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,46,
31,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Recibe estas cousas,Esposa de Aleixo,Ativo,Singular,Feminino,Humana,Corpo,Membros,Mãos,Não aplicável,Receber,Religiosas,Guarda,Noite do seu casamento,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Esposa de Aleixo,Feminino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Anel de ouro; cinta envolta num sudário de pano de púrpura,Literal,Não aplicável,46,
32,Textual,Hagiografia,Vida de Santo Aleixo,VIII,7 guardaas ataa otenpo que prouuer adeus,Esposa de Aleixo,Ativo,Singular,Feminino,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Guardar,Religiosas,Guarda,Enquanto aprouver a Deus,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Esposa de Aleixo,Feminino,Não aplicável,Deus,Masculino,Não aplicável,Anel de ouro; cinta envolta num sudário de pano de púrpura,Literal,Não aplicável,46,
33,Textual,Hagiografia,Vida de Santo Aleixo,VIII,E de pois que disse esto tomou dos bēēs que tijnha...,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Membros,Mãos,Não aplicável,Tomar,Religiosas,Santidade,Depois de falar,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Sagrado,Esposa de Aleixo,Feminino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Bens,Literal,Não aplicável,46,
34,Textual,Hagiografia,Vida de Santo Aleixo,VIII,… 7 partyuse…,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Partir,Religiosas,Santidade,Depois de falar,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Sagrado,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,46,
35,Textual,Hagiografia,Vida de Santo Aleixo,VIII,… 7 foy se ao mar 7meteu se ē hũa naue…,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Navegar,Religiosas,Santidade,Não aplicável,Mar,,,IV,Em um navio,Sagrado,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Nau,Literal,Não aplicável,46,
36,Textual,Hagiografia,Vida de Santo Aleixo,VIII,… 7 prouue adeus…,Deus,Ativo,Singular,Masculino,Sobrenatural,Transcendental,Cabeça,Cérebro,Não aplicável,Resolução de Deus,Religiosas,Vontade divina,Não aplicável,Laodicia,37.8431° N,29.1054° E,IV,Não aplicável,Sagrado,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,46,
37,Textual,Hagiografia,Vida de Santo Aleixo,VIII,… que chegou ahũũ logar que chamauã por nome Laodicia,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Chegar,Religiosas,Santidade,Não aplicável,Laodicia,37.8431° N,29.1054° E,IV,De barco,Sagrado,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Nau,Literal,Não aplicável,46,
38,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Edalj tomou o camjnho 7 foise ahũa cidade da terra de Siria que chamauã Edissa,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Rumar,Religiosas,Santidade,Não aplicável,Edessa,37.1676° N,38.7955° E,IV,A pé,Sagrado,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,46,
39,Textual,Hagiografia,Vida de Santo Aleixo,VIII,todos os bees que cõ sigo leuara 7 os panos de seu uistir deu apobres,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Membros,Mãos,Não aplicável,Dar,Religiosas,Santidade,Depois de chegar a Edessa,Edessa,37.1676° N,38.7955° E,IV,Não aplicável,Sagrado,Pobres,Ambos,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Bens; vestuário,Literal,Não aplicável,46-47,
40,Textual,Hagiografia,Vida de Santo Aleixo,VIII,uistyuse de panos uijs,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Vestir,Religiosas,Santidade,Não aplicável,Edessa,37.1676° N,38.7955° E,IV,Não aplicável,Sagrado,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Panos vis,Literal,Não aplicável,47,
41,Textual,Hagiografia,Vida de Santo Aleixo,VIII,começou de seer cõ os outros pobres em no adro de hua egleia de sacta maria,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Viver,Religiosas,Santidade,Não aplicável,Edessa,37.1676° N,38.7955° E,IV,Com os outros pobres,Sagrado,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
42,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Ecada domjgo comũgaua do corpo de deus,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Cabeça,Boca,Não aplicável,Comungar,Religiosas,Devoção,Todos os domingos,Edessa,37.1676° N,38.7955° E,IV,Não aplicável,Sagrado,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
43,Textual,Hagiografia,Vida de Santo Aleixo,VIII,E das smollas que lhe dauã tomaua pera sy aquelo que entendia que lhe abastarya,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Membros,Mãos,Não aplicável,Tomar,Religiosas,Santidade,Não aplicável,Edessa,37.1676° N,38.7955° E,IV,Só o necessário,Sagrado,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
44,Textual,Hagiografia,Vida de Santo Aleixo,VIII,… entendia que lhe abastaria,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Cabeça,Cérebro,Não aplicável,Entender,Religiosas,Santidade,Não aplicável,Edessa,37.1676° N,38.7955° E,IV,Não aplicável,Sagrado,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
45,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Eo mais que lhe sobeiaua daua polo amor de deus,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Membros,Mãos,Não aplicável,Ofertar,Religiosas,Amor a Deus,Não aplicável,Edessa,37.1676° N,38.7955° E,IV,Não aplicável,Sagrado,Restantes pedintes,Ambos,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
46,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Ede pois que se partyu catarõ andando por toda acidade de Roma,Servidores de Eufemiano,Ativo,Plural,Ambos,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Procurar,Sociais,Ausência,Depois da partida de Aleixo,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Aleixo,Masculino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
47,Textual,Hagiografia,Vida de Santo Aleixo,VIII,7 nõ o poderõ achar,Servidores de Eufemiano,Ativo,Plural,Ambos,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Procurar,Sociais,Ausência,Depois da partida de Aleixo,Roma,41.9028° N,12.4964° E,IV,Negativo,Profano,Aleixo,Masculino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
48,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Equando opadre uyu queo nõ podiã achar mandou homēes 7 moços por todas partes desuairadas de todo omũdo que lho buscassē,Eufemiano,Ativo,Singular,Masculino,Humana,Corpo,Cabeça,Olhos,Não aplicável,Compreender,Sociais,Ausência,Depois da partida de Aleixo,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Não aplicável,Não aplicável,Não aplicável,Aleixo,Masculino,Não aplicável,Não aplicável,Literal,Não aplicável,47,
49,Textual,Hagiografia,Vida de Santo Aleixo,VIII,... mandou homēes 7 moços…,Eufemiano,Ativo,Singular,Masculino,Humana,Corpo,Cabeça,Boca,Não aplicável,Enviar,Sociais,Busca,Depois da partida de Aleixo,Edessa,37.1676° N,38.7955° E,IV,Não aplicável,Profano,Homens; moços,Masculino,Não aplicável,Aleixo,Masculino,Não aplicável,Não aplicável,Literal,Não aplicável,47,
50,Textual,Hagiografia,Vida de Santo Aleixo,VIII,chegarõ aaquela cidade que chamauã edissa,Servidores de Eufemiano,Ativo,Plural,Masculino,Humana,Corpo,Corpo,Corpo (integral),Moços,Chegar,Sociais,Busca,Não aplicável,Edessa,37.1676° N,38.7955° E,IV,Não aplicável,Profano,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
51,Textual,Hagiografia,Vida de Santo Aleixo,VIII,7 ujrõ no seer antre os outros pobres,Servidores de Eufemiano,Ativo,Plural,Masculino,Humana,Corpo,Cabeça,Olhos,Moços,Ver,Sociais,Misericórdia,Não aplicável,Edessa,37.1676° N,38.7955° E,IV,Desconhecendo,Profano,Aleixo,Masculino,Incógnito,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
52,Textual,Hagiografia,Vida de Santo Aleixo,VIII,7 derõ lhe asmolla,Servidores de Eufemiano,Ativo,Plural,Masculino,Humana,Corpo,Membros,Mãos,Moços,Dar,Religiosas,Generosidade,Não aplicável,Edessa,37.1676° N,38.7955° E,IV,Desconhecendo,Sagrado,Aleixo,Masculino,Incógnito,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
53,Textual,Hagiografia,Vida de Santo Aleixo,VIII,quandoos uyu conhoceos,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Cabeça,Cérebro,Homem de Deus,Reconhecer,Sociais,Agnição,Quando os viu,Edessa,37.1676° N,38.7955° E,IV,Ao vê-los,Profano,Enviados do pai de Aleixo,Masculino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
54,Textual,Hagiografia,Vida de Santo Aleixo,VIII,deu graças adeus,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Cabeça,Boca,Homem de Deus,Agraciar,Religiosas,Amor a Deus,Quando os viu,Edessa,37.1676° N,38.7955° E,IV,Não aplicável,Sagrado,Deus,Masculino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
55,Textual,Hagiografia,Vida de Santo Aleixo,VIII,7 disse,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Cabeça,Boca,Homem de Deus,Dizer,Religiosas,Amor a Deus,Quando os viu,Edessa,37.1676° N,38.7955° E,IV,Não aplicável,Sagrado,Não aplicável,Não aplicável,Não aplicável,Servos,Masculino,Não aplicável,Não aplicável,Literal,Não aplicável,47,
56,Textual,Hagiografia,Vida de Santo Aleixo,VIII,senhor deus que me chamaste,Deus,Ativo,Singular,Masculino,Sobrenatural,Transcendental,Cabeça,Boca,Não aplicável,Chamar,Religiosas,Santidade,Não aplicável,Edessa,37.1676° N,38.7955° E,IV,Não aplicável,Sagrado,Aleixo,Masculino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
57,Textual,Hagiografia,Vida de Santo Aleixo,VIII,que polo teu nome tomasse 7 recebesse smolas dos meus seruos,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Membros,Mãos,Não aplicável,Receber esmolas,Religiosas,Santidade,Não aplicável,Edessa,37.1676° N,38.7955° E,IV,Secretamente,Sagrado,Servos,Masculino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
58,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Rogo te 7 peço…,Aleixo,Ativo,Singular,Masculino,Humana,Corpo,Cabeça,Boca,Não aplicável,Rogar; pedir,Religiosas,Santidade,Não aplicável,Edessa,37.1676° N,38.7955° E,IV,Não aplicável,Sagrado,Deus,Masculino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
59,Textual,Hagiografia,Vida de Santo Aleixo,VIII,...queesta obra queem mj começaste…,Deus,Ativo,Singular,Masculino,Sobrenatural,Transcendental,Corpo,Corpo,Não aplicável,Começar,Religiosas,Santidade,Não aplicável,Edessa,37.1676° N,38.7955° E,IV,Não aplicável,Sagrado,Aleixo,Masculino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,47,
